"site","time","treatment","tile.type","cage","tile","live","dead","survival","daily.surv"
"SIN","end","MC+CC","No.cull","18","803",4,6,0.4,0.0032258064516129
"SIN","end","NP","Adult.cull","4","788",1,9,0.1,0.000806451612903226
"SIN","end","NP","Adult.cull","4","799",1,9,0.1,0.000806451612903226
"SIN","end","NP","Adult.cull","4","832",1,9,0.1,0.000806451612903226
"SIN","end","NP","Adult.cull","11","285",1,9,0.1,0.000806451612903226
"SIN","end","NP","Adult.cull","11","708",1,9,0.1,0.000806451612903226
"SIN","end","NP","Adult.cull","19","607",1,9,0.1,0.000806451612903226
"SIN","end","NP","Adult.cull","19","853",1,9,0.1,0.000806451612903226
"SIN","end","NP","Adult.cull","19","871",1,9,0.1,0.000806451612903226
"SIN","end","NP","Juv.Adult.cull","4","796",1,9,0.1,0.000806451612903226
"SIN","end","NP","Juv.Adult.cull","4","837",1,9,0.1,0.000806451612903226
"SIN","end","NP","Juv.Adult.cull","4","839",2,8,0.2,0.00161290322580645
"SIN","end","NP","Juv.Adult.cull","11","714",1,9,0.1,0.000806451612903226
"SIN","end","NP","Juv.Adult.cull","11","715",1,9,0.1,0.000806451612903226
"SIN","end","NP","Juv.Adult.cull","11","733",1,9,0.1,0.000806451612903226
"SIN","end","NP","Juv.Adult.cull","19","60",1,9,0.1,0.000806451612903226
"SIN","end","NP","Juv.Adult.cull","19","851",1,9,0.1,0.000806451612903226
"SIN","end","NP","Juv.Adult.cull","19","870",1,9,0.1,0.000806451612903226
"SIN","end","NP","Juv.cull","4","786",2,8,0.2,0.00161290322580645
"SIN","end","NP","Juv.cull","4","792",2,8,0.2,0.00161290322580645
"SIN","end","NP","Juv.cull","4","833",3,7,0.3,0.00241935483870968
"SIN","end","NP","Juv.cull","11","707",4,6,0.4,0.0032258064516129
"SIN","end","NP","Juv.cull","11","710",2,8,0.2,0.00161290322580645
"SIN","end","NP","Juv.cull","11","728",4,6,0.4,0.0032258064516129
"SIN","end","NP","Juv.cull","19","58",3,7,0.3,0.00241935483870968
"SIN","end","NP","Juv.cull","19","591",2,8,0.2,0.00161290322580645
"SIN","end","NP","Juv.cull","19","872",4,6,0.4,0.0032258064516129
"SIN","end","NP","No.cull","4","766",2,8,0.2,0.00161290322580645
"SIN","end","NP","No.cull","4","774",6,4,0.6,0.00483870967741936
"SIN","end","NP","No.cull","4","838",5,5,0.5,0.00403225806451613
"SIN","end","NP","No.cull","11","724",7,3,0.7,0.00564516129032258
"SIN","end","NP","No.cull","11","725",9,1,0.9,0.00725806451612903
"SIN","end","NP","No.cull","11","729",8,2,0.8,0.00645161290322581
"SIN","end","NP","No.cull","19","850",5,5,0.5,0.00403225806451613
"SIN","end","NP","No.cull","19","859",5,5,0.5,0.00403225806451613
