tile,site,cage.number,treatment,harvest,tile.treatment,recruits,days,std.recruits
537,PF,1,CC,Final,No.cull,27,123,0.219512195
420,PF,6,CC,Final,No.cull,28,123,0.227642276
264,PF,21,CC,Final,No.cull,34,123,0.276422764
682,SIN,3,CC,Final,No.cull,11,123,0.089430894
698,SIN,3,CC,Final,No.cull,21,123,0.170731707
697,SIN,3,CC,Final,No.cull,31,123,0.25203252
675,SIN,15,CC,Final,No.cull,20,123,0.162601626
287,SIN,15,CC,Final,No.cull,25,123,0.203252033
694,SIN,15,CC,Final,No.cull,22,123,0.178861789
849,SIN,17,CC,Final,No.cull,46,123,0.37398374
41,SIN,17,CC,Final,No.cull,27,123,0.219512195
21,SIN,17,CC,Final,No.cull,24,123,0.195121951
187,ML,4,MC,Final,Adult.cull,15,123,0.12195122
208,ML,4,MC,Final,Adult.cull,0,123,0
623,ML,4,MC,Final,Adult.cull,7,123,0.056910569
672,ML,10,MC,Final,Adult.cull,11,123,0.089430894
678,ML,10,MC,Final,Adult.cull,15,123,0.12195122
656,ML,10,MC,Final,Adult.cull,13,123,0.105691057
16,ML,23,MC,Final,Adult.cull,18,123,0.146341463
146,ML,23,MC,Final,Adult.cull,13,123,0.105691057
7,ML,23,MC,Final,Adult.cull,8,123,0.06504065
20,ML,23,MC,Final,Adult.cull,15,123,0.12195122
477,PF,5,MC,Final,Adult.cull,64,123,0.520325203
367,PF,13,MC,Final,Adult.cull,46,123,0.37398374
579,PF,13,MC,Final,Adult.cull,27,123,0.219512195
402,PF,22,MC,Final,Adult.cull,35,123,0.284552846
411,SIN,6,MC,Final,Adult.cull,49,123,0.398373984
783,SIN,6,MC,Final,Adult.cull,27,123,0.219512195
795,SIN,6,MC,Final,Adult.cull,43,123,0.349593496
639,SIN,20,MC,Final,Adult.cull,12,123,0.097560976
84,SIN,20,MC,Final,Adult.cull,63,123,0.512195122
642,SIN,20,MC,Final,Adult.cull,24,123,0.195121951
673,SIN,20,MC,Final,Adult.cull,12,123,0.097560976
614,SIN,20,MC,Final,Adult.cull,2,123,0.016260163
807,SIN,21,MC,Final,Adult.cull,40,123,0.325203252
643,SIN,21,MC,Final,Adult.cull,24,123,0.195121951
813,SIN,21,MC,Final,Adult.cull,31,123,0.25203252
423,ML,4,MC,Final,Juv.Adult.cull,12,123,0.097560976
423,ML,4,MC,Final,Juv.Adult.cull,12,123,0.097560976
141,ML,4,MC,Final,Juv.Adult.cull,16,123,0.130081301
105,ML,4,MC,Final,Juv.Adult.cull,11,123,0.089430894
593,ML,10,MC,Final,Juv.Adult.cull,15,123,0.12195122
671,ML,10,MC,Final,Juv.Adult.cull,11,123,0.089430894
6,ML,23,MC,Final,Juv.Adult.cull,11,123,0.089430894
24,ML,23,MC,Final,Juv.Adult.cull,5,123,0.040650407
160,ML,23,MC,Final,Juv.Adult.cull,6,123,0.048780488
224,ML,23,MC,Final,Juv.Adult.cull,13,123,0.105691057
143,ML,23,MC,Final,Juv.Adult.cull,18,123,0.146341463
363,PF,5,MC,Final,Juv.Adult.cull,61,123,0.495934959
304,PF,13,MC,Final,Juv.Adult.cull,40,123,0.325203252
552,PF,22,MC,Final,Juv.Adult.cull,42,123,0.341463415
780,SIN,6,MC,Final,Juv.Adult.cull,45,123,0.365853659
787,SIN,6,MC,Final,Juv.Adult.cull,26,123,0.211382114
779,SIN,6,MC,Final,Juv.Adult.cull,12,123,0.097560976
660,SIN,20,MC,Final,Juv.Adult.cull,24,123,0.195121951
810,SIN,21,MC,Final,Juv.Adult.cull,48,123,0.390243902
809,SIN,21,MC,Final,Juv.Adult.cull,61,123,0.495934959
815,SIN,21,MC,Final,Juv.Adult.cull,52,123,0.422764228
627,ML,4,MC,Final,Juv.cull,19,123,0.154471545
215,ML,4,MC,Final,Juv.cull,25,123,0.203252033
179,ML,4,MC,Final,Juv.cull,13,123,0.105691057
596,ML,10,MC,Final,Juv.cull,14,123,0.113821138
653,ML,10,MC,Final,Juv.cull,19,123,0.154471545
625,ML,10,MC,Final,Juv.cull,22,123,0.178861789
450,ML,23,MC,Final,Juv.cull,20,123,0.162601626
369,ML,23,MC,Final,Juv.cull,11,123,0.089430894
2,ML,23,MC,Final,Juv.cull,9,123,0.073170732
190,ML,23,MC,Final,Juv.cull,17,123,0.138211382
225,ML,23,MC,Final,Juv.cull,12,123,0.097560976
17,ML,23,MC,Final,Juv.cull,15,123,0.12195122
468,PF,5,MC,Final,Juv.cull,40,123,0.325203252
359,PF,13,MC,Final,Juv.cull,22,123,0.178861789
418,PF,22,MC,Final,Juv.cull,31,123,0.25203252
772,SIN,6,MC,Final,Juv.cull,17,123,0.138211382
782,SIN,6,MC,Final,Juv.cull,46,123,0.37398374
47,SIN,6,MC,Final,Juv.cull,29,123,0.235772358
631,SIN,20,MC,Final,Juv.cull,51,123,0.414634146
644,SIN,20,MC,Final,Juv.cull,42,123,0.341463415
618,SIN,20,MC,Final,Juv.cull,35,123,0.284552846
641,SIN,21,MC,Final,Juv.cull,47,123,0.382113821
814,SIN,21,MC,Final,Juv.cull,38,123,0.308943089
811,SIN,21,MC,Final,Juv.cull,28,123,0.227642276
212,ML,4,MC,Final,No.cull,16,123,0.130081301
606,ML,4,MC,Final,No.cull,18,123,0.146341463
424,ML,4,MC,Final,No.cull,19,123,0.154471545
628,ML,10,MC,Final,No.cull,14,123,0.113821138
665,ML,10,MC,Final,No.cull,23,123,0.18699187
679,ML,10,MC,Final,No.cull,6,123,0.048780488
1,ML,23,MC,Final,No.cull,18,123,0.146341463
18,ML,23,MC,Final,No.cull,5,123,0.040650407
164,ML,23,MC,Final,No.cull,19,123,0.154471545
142,ML,23,MC,Final,No.cull,17,123,0.138211382
362,PF,5,MC,Final,No.cull,53,123,0.430894309
333,PF,13,MC,Final,No.cull,22,123,0.178861789
559,PF,22,MC,Final,No.cull,23,123,0.18699187
414,SIN,6,MC,Final,No.cull,26,123,0.211382114
791,SIN,6,MC,Final,No.cull,23,123,0.18699187
785,SIN,6,MC,Final,No.cull,33,123,0.268292683
667,SIN,20,MC,Final,No.cull,66,123,0.536585366
647,SIN,20,MC,Final,No.cull,13,123,0.105691057
646,SIN,20,MC,Final,No.cull,34,123,0.276422764
808,SIN,21,MC,Final,No.cull,39,123,0.317073171
812,SIN,21,MC,Final,No.cull,46,123,0.37398374
816,SIN,21,MC,Final,No.cull,73,123,0.593495935
183,ML,1,MC+CC,Final,Adult.cull,39,123,0.317073171
177,ML,1,MC+CC,Final,Adult.cull,28,123,0.227642276
229,ML,1,MC+CC,Final,Adult.cull,28,123,0.227642276
82,ML,7,MC+CC,Final,Adult.cull,9,123,0.073170732
73,ML,7,MC+CC,Final,Adult.cull,21,123,0.170731707
505,ML,7,MC+CC,Final,Adult.cull,18,123,0.146341463
517,ML,13,MC+CC,Final,Adult.cull,15,123,0.12195122
535,ML,13,MC+CC,Final,Adult.cull,8,123,0.06504065
494a,ML,13,MC+CC,Final,Adult.cull,10,123,0.081300813
324,PF,2,MC+CC,Final,Adult.cull,47,123,0.382113821
253,PF,11,MC+CC,Final,Adult.cull,61,123,0.495934959
49,SIN,5,MC+CC,Final,Adult.cull,22,123,0.178861789
757,SIN,5,MC+CC,Final,Adult.cull,27,123,0.219512195
739,SIN,5,MC+CC,Final,Adult.cull,33,123,0.268292683
652,SIN,12,MC+CC,Final,Adult.cull,14,123,0.113821138
659,SIN,12,MC+CC,Final,Adult.cull,23,123,0.18699187
619,SIN,12,MC+CC,Final,Adult.cull,8,123,0.06504065
276,ML,1,MC+CC,Final,Juv.Adult.cull,23,123,0.18699187
189,ML,1,MC+CC,Final,Juv.Adult.cull,21,123,0.170731707
200,ML,1,MC+CC,Final,Juv.Adult.cull,26,123,0.211382114
69,ML,7,MC+CC,Final,Juv.Adult.cull,14,123,0.113821138
106,ML,7,MC+CC,Final,Juv.Adult.cull,14,123,0.113821138
440,ML,7,MC+CC,Final,Juv.Adult.cull,18,123,0.146341463
542,ML,13,MC+CC,Final,Juv.Adult.cull,4,123,0.032520325
501,ML,13,MC+CC,Final,Juv.Adult.cull,13,123,0.105691057
150,ML,13,MC+CC,Final,Juv.Adult.cull,9,123,0.073170732
449,PF,2,MC+CC,Final,Juv.Adult.cull,52,123,0.422764228
250,PF,11,MC+CC,Final,Juv.Adult.cull,64,123,0.520325203
454,PF,17,MC+CC,Final,Juv.Adult.cull,77,123,0.62601626
758,SIN,5,MC+CC,Final,Juv.Adult.cull,99,123,0.804878049
32,SIN,5,MC+CC,Final,Juv.Adult.cull,33,123,0.268292683
874,SIN,5,MC+CC,Final,Juv.Adult.cull,67,123,0.544715447
621,SIN,12,MC+CC,Final,Juv.Adult.cull,36,123,0.292682927
612,SIN,12,MC+CC,Final,Juv.Adult.cull,28,123,0.227642276
674,SIN,12,MC+CC,Final,Juv.Adult.cull,26,123,0.211382114
278,ML,1,MC+CC,Final,Juv.cull,14,123,0.113821138
175,ML,1,MC+CC,Final,Juv.cull,24,123,0.195121951
181,ML,1,MC+CC,Final,Juv.cull,18,123,0.146341463
432,ML,7,MC+CC,Final,Juv.cull,24,123,0.195121951
409,ML,7,MC+CC,Final,Juv.cull,9,123,0.073170732
81,ML,7,MC+CC,Final,Juv.cull,27,123,0.219512195
527,ML,13,MC+CC,Final,Juv.cull,7,123,0.056910569
533,ML,13,MC+CC,Final,Juv.cull,6,123,0.048780488
486,ML,13,MC+CC,Final,Juv.cull,6,123,0.048780488
387,PF,2,MC+CC,Final,Juv.cull,35,123,0.284552846
246,PF,11,MC+CC,Final,Juv.cull,39,123,0.317073171
51,PF,17,MC+CC,Final,Juv.cull,32,123,0.260162602
856,SIN,5,MC+CC,Final,Juv.cull,21,123,0.170731707
855,SIN,5,MC+CC,Final,Juv.cull,17,123,0.138211382
740,SIN,5,MC+CC,Final,Juv.cull,50,123,0.406504065
636,SIN,12,MC+CC,Final,Juv.cull,53,123,0.430894309
633,SIN,12,MC+CC,Final,Juv.cull,41,123,0.333333333
617,SIN,12,MC+CC,Final,Juv.cull,44,123,0.357723577
176,ML,1,MC+CC,Final,No.cull,22,123,0.178861789
180,ML,1,MC+CC,Final,No.cull,24,123,0.195121951
186,ML,1,MC+CC,Final,No.cull,14,123,0.113821138
360,ML,7,MC+CC,Final,No.cull,20,123,0.162601626
434,ML,7,MC+CC,Final,No.cull,0,123,0
327,ML,7,MC+CC,Final,No.cull,10,123,0.081300813
520,ML,13,MC+CC,Final,No.cull,11,123,0.089430894
545,ML,13,MC+CC,Final,No.cull,12,123,0.097560976
514,ML,13,MC+CC,Final,No.cull,7,123,0.056910569
240,PF,2,MC+CC,Final,No.cull,66,123,0.536585366
270,PF,11,MC+CC,Final,No.cull,41,123,0.333333333
236,PF,17,MC+CC,Final,No.cull,48,123,0.390243902
759,SIN,5,MC+CC,Final,No.cull,26,123,0.211382114
31,SIN,5,MC+CC,Final,No.cull,23,123,0.18699187
747,SIN,5,MC+CC,Final,No.cull,18,123,0.146341463
637,SIN,12,MC+CC,Final,No.cull,30,123,0.243902439
632,SIN,12,MC+CC,Final,No.cull,36,123,0.292682927
655,SIN,12,MC+CC,Final,No.cull,53,123,0.430894309
197,ML,2,NP,Final,Adult.cull,29,123,0.235772358
595,ML,2,NP,Final,Adult.cull,23,123,0.18699187
696,ML,2,NP,Final,Adult.cull,11,123,0.089430894
610,ML,2,NP,Final,Adult.cull,39,123,0.317073171
5,ML,15,NP,Final,Adult.cull,8,123,0.06504065
433,ML,15,NP,Final,Adult.cull,15,123,0.12195122
435,ML,15,NP,Final,Adult.cull,7,123,0.056910569
571,PF,8,NP,Final,Adult.cull,47,123,0.382113821
383,PF,10,NP,Final,Adult.cull,19,123,0.154471545
355,PF,12,NP,Final,Adult.cull,43,123,0.349593496
788,SIN,4,NP,Final,Adult.cull,37,123,0.300813008
799,SIN,4,NP,Final,Adult.cull,16,123,0.130081301
832,SIN,4,NP,Final,Adult.cull,14,123,0.113821138
853,SIN,19,NP,Final,Adult.cull,27,123,0.219512195
871,SIN,19,NP,Final,Adult.cull,14,123,0.113821138
594,ML,2,NP,Final,Juv.Adult.cull,41,123,0.333333333
615,ML,2,NP,Final,Juv.Adult.cull,21,123,0.170731707
602,ML,2,NP,Final,Juv.Adult.cull,15,123,0.12195122
430,ML,15,NP,Final,Juv.Adult.cull,14,123,0.113821138
428,ML,15,NP,Final,Juv.Adult.cull,16,123,0.130081301
22,ML,15,NP,Final,Juv.Adult.cull,6,123,0.048780488
48,PF,8,NP,Final,Juv.Adult.cull,52,123,0.422764228
395,PF,10,NP,Final,Juv.Adult.cull,32,123,0.260162602
375,PF,12,NP,Final,Juv.Adult.cull,55,123,0.447154472
796,SIN,4,NP,Final,Juv.Adult.cull,34,123,0.276422764
837,SIN,4,NP,Final,Juv.Adult.cull,31,123,0.25203252
839,SIN,4,NP,Final,Juv.Adult.cull,34,123,0.276422764
851,SIN,19,NP,Final,Juv.Adult.cull,71,123,0.577235772
870,SIN,19,NP,Final,Juv.Adult.cull,30,123,0.243902439
60,SIN,19,NP,Final,Juv.Adult.cull,37,123,0.300813008
196,ML,2,NP,Final,Juv.cull,17,123,0.138211382
185,ML,2,NP,Final,Juv.cull,33,123,0.268292683
603,ML,2,NP,Final,Juv.cull,26,123,0.211382114
110,ML,15,NP,Final,Juv.cull,15,123,0.12195122
507,ML,15,NP,Final,Juv.cull,9,123,0.073170732
13,ML,15,NP,Final,Juv.cull,6,123,0.048780488
39,PF,8,NP,Final,Juv.cull,34,123,0.276422764
467,PF,12,NP,Final,Juv.cull,42,123,0.341463415
833,SIN,4,NP,Final,Juv.cull,19,123,0.154471545
792,SIN,4,NP,Final,Juv.cull,44,123,0.357723577
786,SIN,4,NP,Final,Juv.cull,29,123,0.235772358
58,SIN,19,NP,Final,Juv.cull,67,123,0.544715447
872,SIN,19,NP,Final,Juv.cull,34,123,0.276422764
591,SIN,19,NP,Final,Juv.cull,44,123,0.357723577
580,ML,2,NP,Final,No.cull,32,123,0.260162602
601,ML,2,NP,Final,No.cull,23,123,0.18699187
592,ML,2,NP,Final,No.cull,22,123,0.178861789
3,ML,15,NP,Final,No.cull,11,123,0.089430894
429,ML,15,NP,Final,No.cull,22,123,0.178861789
426,ML,15,NP,Final,No.cull,9,123,0.073170732
565,PF,8,NP,Final,No.cull,63,123,0.512195122
320,PF,10,NP,Final,No.cull,66,123,0.536585366
382,PF,12,NP,Final,No.cull,47,123,0.382113821
766,SIN,4,NP,Final,No.cull,46,123,0.37398374
774,SIN,4,NP,Final,No.cull,36,123,0.292682927
838,SIN,4,NP,Final,No.cull,29,123,0.235772358
850,SIN,19,NP,Final,No.cull,45,123,0.365853659
859,SIN,19,NP,Final,No.cull,39,123,0.317073171
